Date,Open,Range,Volume,Log_Volume,Return_Percentage,3_Day_Avg_AdjClose(Delay),PriorDay_AdjClose,Adj_Close
2/10/2023,216.9,12.67,55073700,7.74,-4.80%,222.2742663,223.26,212.55
2/13/2023,215.38,10.86,47491900,7.68,2.46%,219.2490893,212.55,217.77
2/14/2023,215.78,16.83,67547400,7.83,5.43%,217.8597767,217.77,229.6
2/15/2023,225.49,7.49,42057500,7.62,-0.90%,219.9720763,229.6,227.53
2/16/2023,221.33,6.23,41202600,7.61,-3.35%,224.9662883,227.53,219.91
2/17/2023,216.31,7.65,46588800,7.67,-2.79%,225.6792703,219.91,213.78
2/21/2023,210,8.76,41001500,7.61,-3.43%,220.405192,213.78,206.45
2/22/2023,207.07,6.83,51318400,7.71,0.48%,213.3786467,206.45,207.44
2/23/2023,234.4,8.63,111799500,8.05,14.02%,209.2206827,207.44,236.52
2/24/2023,232.25,5.27,58971600,7.77,-1.60%,216.8036347,236.52,232.75
2/27/2023,236.7,4.26,45299400,7.66,0.92%,225.569331,232.75,234.89
2/28/2023,233.72,6.19,45596300,7.66,-1.21%,234.721507,234.89,232.05
3/1/2023,231.92,7.48,46002600,7.66,-2.23%,233.2288973,232.05,226.87
3/2/2023,224.88,9.48,38941500,7.59,2.71%,231.269857,226.87,233.03
3/3/2023,233.2,7.7,41239300,7.62,2.47%,230.6468357,233.03,238.78
3/6/2023,238.91,7.61,43742900,7.64,-1.41%,232.8924053,238.78,235.42
3/7/2023,236,8.84,51515400,7.71,-1.11%,235.744339,235.42,232.81
3/8/2023,234.87,7.76,51357300,7.71,3.84%,235.670888,232.81,241.73
3/9/2023,241.75,10.71,50125700,7.7,-3.08%,236.6540983,241.73,234.28
3/10/2023,234.09,9.01,47486600,7.68,-2.01%,236.2742257,234.28,229.58
3/13/2023,227.52,10.01,42189000,7.63,0.00%,235.1979013,229.58,229.59
3/14/2023,234.96,7.59,47491000,7.68,4.78%,231.1491953,229.59,240.55
3/15/2023,237.61,9.26,52448600,7.72,0.69%,233.2385253,240.55,242.2
3/16/2023,240.27,16.94,58325300,7.77,5.42%,237.447174,242.2,255.33
3/17/2023,259.82,7.31,84854700,7.93,0.72%,246.0277503,255.33,257.17
3/20/2023,256.15,8.94,43274700,7.64,0.68%,251.565979,257.17,258.92
3/21/2023,261.8,10.11,54740800,7.74,1.15%,257.1375327,258.92,261.91
3/22/2023,264.25,13.52,79729500,7.9,1.03%,259.3301597,261.91,264.6
3/23/2023,271.15,8.09,56488900,7.75,2.73%,261.80602,264.6,271.82
3/24/2023,270.31,8.12,45492000,7.66,-1.52%,266.107971,271.82,267.7
3/27/2023,268.37,6.35,36102600,7.56,-0.93%,268.04069,267.7,265.22
3/28/2023,264.47,6.63,35610400,7.55,-0.46%,268.2506307,265.22,264.02
3/29/2023,268.25,4.81,39369400,7.6,2.17%,265.6481323,264.02,269.75
3/30/2023,272.29,3.97,36451600,7.56,1.48%,266.331248,269.75,273.74
3/31/2023,271.4,7.29,43393300,7.64,1.44%,269.170329,273.74,277.68
4/3/2023,275.09,6.64,39871600,7.6,0.68%,273.725525,277.68,279.56
