Date,Open,Range,Volume,Log_Volume,Return_Percentage,3_Day_Avg_AdjClose(Delay),PriorDay_AdjClose,Adj_Close
4/23/2024,807.69,25.05,43855900,7.64,3.65%,801.2966717,795.18,824.23
4/24/2024,839.5,48.99,51220800,7.71,-3.33%,793.8033243,824.23,796.77
4/25/2024,788.68,51,42464100,7.63,3.71%,805.393331,796.77,826.32
4/26/2024,838.18,49.44,55101100,7.74,6.18%,815.7733357,826.32,877.35
4/29/2024,875.95,27.26,38897100,7.59,0.03%,833.480001,877.35,877.57
4/30/2024,872.4,25.19,36370900,7.56,-1.54%,860.41333,877.57,864.02
5/1/2024,850.77,47.45,55986300,7.75,-3.89%,872.980001,864.02,830.41
5/2/2024,844.49,30.37,37789800,7.58,3.34%,857.3333333,830.41,858.17
5/3/2024,877.89,22.41,39834100,7.6,3.46%,850.8666587,858.17,887.89
5/6/2024,893.9,31.65,37620300,7.58,3.77%,858.8233237,887.89,921.4
5/7/2024,910.98,94.56,43734200,7.64,-1.72%,889.1533407,921.4,905.54
5/8/2024,894.83,17.74,32572100,7.51,-0.16%,904.943339,905.54,904.12
5/9/2024,905.29,28.41,37801300,7.58,-1.84%,910.3533323,904.12,887.47
5/10/2024,903.05,21.74,33455700,7.52,1.27%,899.0433147,887.47,898.78
5/13/2024,904.7,24.67,28710641,7.46,0.58%,896.7899983,898.78,903.99
,,,,,,,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
